date,air-density_land-wtd,air-density_pop-wtd,cloud-cover_land-wtd,cloud-cover_pop-wtd,humidity_land-wtd,humidity_pop-wtd,irradiance-surface_land-wtd,irradiance-surface_pop-wtd,irradiance-toa_land-wtd,irradiance-toa_pop-wtd,precipitation_land-wtd,precipitation_pop-wtd,temperature_land-wtd,temperature_pop-wtd,wind-speed_land-wtd,wind-speed_pop-wtd
1/1/1980 0:00,1.157,1.168,0.132,0.161,0.012,0.013,141.871,146.612,251.718,262.387,0.001,0.001,19.907,21.945,1.15,1.321
1/1/1980 1:00,1.152,1.161,0.125,0.155,0.012,0.013,365.014,370.208,543.718,555.754,0.001,0.001,22.823,24.993,1.101,1.184
1/1/1980 2:00,1.14,1.151,0.123,0.151,0.011,0.012,570.543,576.128,788.893,802.046,0.001,0.001,26.521,28.589,0.899,0.883
1/1/1980 3:00,1.131,1.143,0.126,0.146,0.011,0.011,728.058,734.003,970.563,984.538,0.002,0.002,29.326,31.049,1.023,0.989
1/1/1980 4:00,1.126,1.138,0.155,0.189,0.011,0.011,820.346,827.084,1076.319,1090.777,0.002,0.002,30.832,32.505,1.101,1.087
1/1/1980 5:00,1.122,1.134,0.195,0.312,0.011,0.011,839.868,847.394,1098.931,1113.444,0.002,0.002,31.723,33.396,1.144,1.251
1/1/1980 6:00,1.118,1.13,0.214,0.364,0.01,0.011,783.73,792.038,1036.911,1051.032,0.002,0.002,32.163,33.824,1.177,1.448
1/1/1980 7:00,1.116,1.128,0.191,0.269,0.01,0.011,658.082,667.132,894.452,907.848,0.001,0.001,32.155,33.81,1.194,1.613
1/1/1980 8:00,1.115,1.127,0.168,0.184,0.01,0.011,475.572,484.803,681.26,693.635,0.001,0.001,31.661,33.321,1.193,1.717
1/1/1980 9:00,1.116,1.128,0.158,0.152,0.011,0.011,254.486,258.921,411.853,422.902,0,0,30.583,32.264,1.099,1.703
1/1/1980 10:00,1.119,1.131,0.168,0.168,0.012,0.012,53.703,56.26,113.826,121.11,0,0,28.102,29.889,0.829,1.441
1/1/1980 11:00,1.123,1.136,0.162,0.166,0.011,0.012,0.095,0.095,0.376,0.384,0,0,26.21,27.806,0.912,1.649
1/1/1980 12:00,1.127,1.141,0.156,0.157,0.011,0.012,0,0,0,0,0,0,25.13,26.732,0.973,1.835
1/1/1980 13:00,1.131,1.145,0.147,0.151,0.011,0.013,0,0,0,0,0,0,24.234,25.836,1.015,1.873
1/1/1980 14:00,1.135,1.148,0.137,0.142,0.011,0.013,0,0,0,0,0,0,23.435,25.067,1.032,1.843
1/1/1980 15:00,1.138,1.151,0.135,0.151,0.011,0.013,0,0,0,0,0,0,22.72,24.388,1.013,1.771
1/1/1980 16:00,1.141,1.154,0.147,0.179,0.011,0.013,0,0,0,0,0,0,22.041,23.753,0.99,1.701
1/1/1980 17:00,1.143,1.156,0.172,0.219,0.012,0.014,0,0,0,0,0,0.001,21.369,23.138,0.983,1.633
1/1/1980 18:00,1.145,1.157,0.21,0.281,0.012,0.014,0,0,0,0,0,0.001,20.731,22.549,0.984,1.567
1/1/1980 19:00,1.147,1.159,0.224,0.346,0.012,0.014,0,0,0,0,0,0.001,20.145,22.011,0.981,1.488
1/1/1980 20:00,1.149,1.16,0.212,0.389,0.012,0.014,0,0,0,0,0.001,0.001,19.625,21.534,0.957,1.381
1/1/1980 21:00,1.151,1.162,0.164,0.352,0.012,0.014,0,0,0,0,0,0,19.183,21.113,0.903,1.214
1/1/1980 22:00,1.152,1.163,0.108,0.217,0.012,0.014,0,0,0,0,0,0,18.831,20.786,0.862,1.069
1/1/1980 23:00,1.154,1.165,0.084,0.105,0.012,0.014,6.592,6.828,18.094,19.554,0,0,18.595,20.64,0.839,0.975
