0.392, 0.392, 0.392.
0.379, 0.379, 0.359.
0.325, 0.269, 0.227.
0.265, 0.227, 0.199.
0.191, 0.157, 0.088.
0.161, 0.135, 0.142.
0.088, 0.101, 0.142.
0.071, 0.088, 0.124.
0.083, 0.115, 0.157.
0.112, 0.145, 0.162.
0.246, 0.299, 0.311.
0.405, 0.408, 0.369.
0.329, 0.292, 0.236.
0.265, 0.218, 0.169.
0.202, 0.156, 0.126.
0.173, 0.167, 0.162.
0.1, 0.089, 0.081.
0.089, 0.084, 0.084.
0.087, 0.087, 0.087.
0.094, 0.092, 0.092.
0.102, 0.102, 0.101.
0.102, 0.102, 0.101.
0.092, 0.089, 0.089.
0.094, 0.094, 0.094.
0.099, 0.098, 0.097.
0.106, 0.103, 0.085.
0.108, 0.085, 0.065.
0.09, 0.073, 0.062.
0.089, 0.082, 0.076.
0.061, 0.03, 0.034.
0.044, 0.053, 0.075.
0.099, 0.142, 0.226.
0.099, 0.161, 0.248.
0.221, 0.353, 0.423.
0.274, 0.302, 0.299.
0.337, 0.329, 0.299.
0.266, 0.241, 0.198.
0.194, 0.149, 0.104.
0.112, 0.074, 0.058.
0.123, 0.109, 0.102.
0.096, 0.086, 0.083.
0.108, 0.102, 0.097.
0.065, 0.055, 0.049.
0.066, 0.063, 0.063.
0.067, 0.067, 0.067.
0.052, 0.052, 0.056.
0.049, 0.049, 0.05.
0.051, 0.051, 0.051.
0.051, 0.051, 0.051.
0.051, 0.051, 0.046.
0.054, 0.048, 0.045.
0.056, 0.051, 0.047.
0.093, 0.104, 0.076.
0.073, 0.084, 0.097.
0.077, 0.088, 0.119.
0.034, 0.045, 0.064.
0.046, 0.064, 0.083.
0.089, 0.115, 0.122.
0.112, 0.114, 0.103.
0.129, 0.118, 0.099.
0.112, 0.089, 0.064.
0.097, 0.074, 0.058.
0.089, 0.074, 0.065.
0.067, 0.057, 0.051.
0.051, 0.046, 0.042.
0.051, 0.046, 0.042.
0.042, 0.038, 0.035.
0.044, 0.042, 0.041.
0.041, 0.041, 0.041.
0.038, 0.038, 0.038.
0.044, 0.047, 0.051.
0.049, 0.051, 0.051.
0.055, 0.059, 0.063.
0.059, 0.059, 0.051.
0.059, 0.054, 0.047.
0.051, 0.043, 0.038.
0.047, 0.043, 0.076.
0.045, 0.077, 0.088.
0.033, 0.037, 0.051.
0.181, 0.237, 0.347.
0.319, 0.488, 0.632.
0.488, 0.602, 0.624.
0.648, 0.685, 0.648.
0.804, 0.794, 0.749.
0.685, 0.609, 0.499.
0.517, 0.411, 0.329.
0.399, 0.279, 0.216.
0.369, 0.302, 0.272.
0.372, 0.336, 0.302.
0.423, 0.402, 0.374.
0.329, 0.286, 0.241.
0.361, 0.347, 0.339.
0.361, 0.359, 0.359.
0.305, 0.292, 0.285.
0.271, 0.241, 0.218.
0.292, 0.292, 0.294.
0.302, 0.302, 0.299.
0.307, 0.299, 0.258.
0.299, 0.269, 0.247.
0.249, 0.218, 0.203.
0.191, 0.171, 0.096.
0.161, 0.099, 0.118.
0.162, 0.213, 0.307.
