25.454, 25.242, 25.043.
25.16, 24.954, 24.781.
24.943, 24.773, 24.603.
24.801, 24.664, 25.173.
24.683, 25.091, 26.434.
25.254, 26.543, 27.928.
26.282, 27.747, 29.096.
27.474, 28.767, 29.847.
29.219, 30.38, 31.073.
30.906, 31.873, 32.371.
31.932, 32.553, 32.854.
32.35, 32.554, 32.454.
32.512, 32.362, 31.899.
32.375, 31.949, 31.25.
31.871, 31.146, 30.181.
31.122, 30.173, 28.626.
30.173, 28.817, 27.868.
28.489, 27.489, 26.958.
27.625, 27.081, 26.649.
27.223, 26.817, 26.444.
26.809, 26.439, 26.095.
26.402, 26.042, 25.715.
26.08, 25.763, 25.47.
25.763, 25.484, 25.25.
25.473, 25.254, 25.043.
25.234, 25.01, 24.833.
25.012, 24.853, 24.74.
24.842, 24.706, 25.173.
24.69, 25.163, 26.444.
25.194, 26.413, 27.867.
26.45, 27.979, 29.416.
27.845, 29.237, 30.289.
29.399, 30.494, 31.229.
30.801, 31.573, 32.054.
31.72, 32.25, 32.454.
32.05, 32.319, 32.216.
32.162, 31.964, 31.521.
32.066, 31.607, 30.938.
31.854, 31.25, 30.383.
31.273, 30.383, 28.857.
30.383, 28.979, 27.973.
28.979, 27.979, 27.485.
27.697, 27.164, 26.767.
27.242, 26.817, 26.434.
26.809, 26.439, 26.095.
26.402, 26.042, 25.742.
26.052, 25.741, 25.455.
25.711, 25.454, 25.242.
25.406, 25.161, 24.954.
25.16, 24.954, 24.783.
24.983, 24.842, 24.74.
24.811, 24.664, 25.163.
24.604, 25.091, 26.434.
24.954, 26.17, 27.747.
26.482, 28.219, 29.706.
28.656, 30.181, 31.421.
30.684, 31.987, 32.974.
32.319, 33.059, 33.642.
33.065, 33.642, 33.932.
33.905, 34.219, 34.136.
34.155, 34.001, 33.551.
34.05, 33.606, 32.871.
33.67, 32.892, 31.797.
33.036, 32.065, 30.261.
31.805, 29.817, 28.776.
29.979, 28.849, 28.236.
28.979, 28.359, 27.831.
28.219, 27.698, 27.199.
27.709, 27.255, 26.809.
27.261, 26.809, 26.399.
26.817, 26.407, 26.038.
26.467, 26.137, 25.817.
26.08, 25.763, 25.48.
25.763, 25.49, 25.25.
25.47, 25.252, 25.051.
25.252, 25.052, 25.556.
25.01, 25.455, 26.838.
25.354, 26.809, 28.616.
27.45, 29.489, 31.293.
29.219, 30.835, 32.382.
30.684, 31.973, 32.871.
31.56, 32.392, 32.932.
32.168, 32.536, 32.592.
32.697, 32.762, 32.552.
33.022, 32.842, 32.422.
32.77, 32.275, 31.554.
32.45, 31.797, 30.891.
31.75, 30.801, 29.317.
30.894, 29.359, 28.278.
29.219, 28.219, 27.658.
28.219, 27.698, 27.242.
27.689, 27.241, 26.828.
27.23, 26.809, 26.396.
26.829, 26.439, 26.093.
26.501, 26.162, 25.838.
26.215, 25.909, 25.659.
25.862, 25.609, 25.38.
25.604, 25.406, 25.254.
25.354, 25.162, 25.024.
25.13, 24.983, 25.455.
24.983, 25.456, 26.809.
25.484, 26.809, 28.347.
26.809, 28.347, 29.706.
28.347, 29.747, 30.884.
29.912, 31.021, 31.932.
30.974, 31.673, 32.054.
32.021, 32.505, 32.656.
32.68, 32.842, 32.742.
33.059, 33.025, 32.642.
33.035, 32.697, 32.113.
32.61, 31.897, 30.938.
31.987, 31.05, 29.497.
30.974, 29.359, 28.276.
29.489, 28.359, 27.798.
28.219, 27.664, 27.199.
27.719, 27.281, 26.886.
27.242, 26.809, 26.394.
26.829, 26.466, 26.138.
26.402, 26.042, 25.742.
26.052, 25.741, 25.47.
25.683, 25.406, 25.161.
25.343, 25.091, 24.886.
25.03, 24.801, 24.603.
24.853, 24.693, 25.194.
24.706, 25.163, 26.565.
25.193, 26.809, 28.476.
26.652, 28.347, 29.918.
28.679, 30.281, 31.621.
30.38, 31.673, 32.602.
31.888, 32.932, 33.592.
33.021, 33.642, 33.932.
33.501, 33.742, 33.642.
33.905, 33.805, 33.371.
33.907, 33.505, 32.802.
33.555, 32.892, 31.965.
33.031, 32.065, 30.279.
32.221, 30.684, 29.237.
30.38, 29.059, 28.396.
28.979, 28.281, 27.746.
28.279, 27.768, 27.282.
27.717, 27.252, 26.809.
27.223, 26.809, 26.396.
