0, 0, 0, 0, 0.796.
0, 0, 0, 0.965, 44.675.
0, 0, 0.796, 42.624, 149.561.
0, 0.965, 46.061, 156.976, 299.047.
0.965, 46.061, 156.82, 289.099, 418.798.
48.409, 163.503, 299.099, 420.624, 524.262.
159.899, 299.099, 434.124, 548.437, 616.704.
299.029, 417.459, 511.856, 569.437, 570.49.
437.449, 539.239, 593.902, 599.553, 549.604.
558.437, 612.809, 615.423, 568.551, 489.409.
612.809, 611.602, 565.562, 489.219, 369.541.
599.097, 551.851, 459.227, 345.701, 219.226.
547.437, 459.219, 345.701, 219.219, 101.457.
458.419, 345.706, 219.219, 101.457, 15.348.
337.697, 208.219, 95.694, 13.035, 0.
198.739, 89.327, 12.056, 0, 0.
88.327, 12.267, 0, 0, 0.
12.588, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.797.
0, 0, 0, 0.796, 42.468.
0, 0, 0.796, 42.624, 149.357.
0, 0.797, 42.408, 148.409, 279.086.
0.783, 42.609, 149.259, 279.069, 410.444.
48.409, 163.503, 299.099, 420.624, 521.949.
159.899, 299.099, 437.449, 550.014, 612.049.
297.756, 434.124, 538.437, 596.702, 598.504.
418.739, 511.849, 559.019, 559.229, 509.086.
487.437, 529.437, 527.437, 489.229, 416.344.
538.437, 531.959, 489.229, 406.344, 299.086.
538.259, 489.229, 406.331, 299.029, 184.051.
499.657, 418.551, 313.577, 198.857, 91.254.
439.057, 330.707, 219.219, 98.227, 14.266.
337.697, 218.619, 101.457, 15.065, 0.
208.419, 91.975, 13.219, 0, 0.
97.437, 14.219, 0, 0, 0.
14.037, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.965.
0, 0, 0, 0.965, 50.524.
0, 0, 0.965, 50.524, 175.034.
0, 0.965, 51.683, 175.052, 316.434.
0.969, 56.061, 193.7, 351.006, 492.772.
58.409, 190.063, 342.462, 489.219, 596.603.
199.229, 359.029, 495.075, 611.602, 666.704.
399.097, 559.747, 669.552, 724.249, 719.057.
558.437, 679.553, 744.453, 742.053, 689.553.
669.409, 730.432, 732.053, 675.562, 572.703.
710.312, 709.089, 655.161, 552.128, 418.585.
717.459, 655.161, 547.221, 406.331, 259.086.
669.045, 559.219, 420.344, 269.219, 128.091.
559.219, 420.344, 269.047, 126.061, 19.046.
429.419, 289.047, 135.047, 19.045, 0.
267.608, 120.424, 18.045, 0, 0.
119.019, 17.419, 0, 0, 0.
17.419, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 1.426.
0, 0, 0, 1.426, 62.423.
0, 0, 1.312, 59.879, 198.611.
0, 1.312, 59.879, 196.987, 359.046.
1.312, 61.018, 202.624, 361.407, 507.611.
68.209, 219.229, 381.407, 529.437, 649.798.
218.799, 387.897, 539.437, 654.972, 712.028.
357.459, 495.062, 594.916, 637.517, 633.402.
488.357, 584.963, 635.553, 635.553, 589.553.
548.437, 593.902, 592.71, 543.953, 459.046.
588.437, 588.437, 539.553, 459.069, 347.157.
611.602, 565.518, 479.551, 367.151, 239.047.
579.097, 489.229, 370.312, 240.909, 116.053.
478.337, 362.272, 239.219, 116.776, 18.357.
349.057, 229.219, 109.227, 16.357, 0.
228.769, 109.219, 16.357, 0, 0.
107.879, 16.367, 0, 0, 0.
16.357, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 1.395.
0, 0, 0, 1.312, 52.624.
0, 0, 1.312, 52.624, 170.5.
0, 1.312, 52.624, 170.592, 312.023.
1.312, 52.624, 170.574, 312.023, 444.128.
68.209, 219.229, 381.407, 536.534, 662.852.
189.019, 331.007, 459.099, 558.437, 616.704.
329.439, 459.229, 554.991, 611.602, 611.602.
478.437, 585.553, 639.019, 649.097, 599.553.
596.706, 663.505, 675.562, 627.011, 528.476.
659.219, 671.52, 627.012, 527.437, 397.135.
678.437, 631.5, 528.219, 397.135, 249.047.
637.067, 539.219, 406.326, 259.219, 119.228.
558.437, 421.584, 269.029, 128.091, 21.656.
418.289, 269.047, 128.019, 21.679, 0.
