Variable,MAE,RMSE,SMAPE (%),R^2,Missing Rate (%)
air-density_land-wtd,0.00038442247727725,0.0029631855134605355,0.03378066588146136,0.9623380584360076,0.0
air-density_pop-wtd,0.00041962236110558226,0.00332084493660524,0.03638450878946146,0.9453082765477372,0.0026537517415245807
cloud-cover_land-wtd,0.010337742984143835,0.014913698082620849,2.007014301774607,0.994608371111372,0.0
cloud-cover_pop-wtd,0.014188137729715385,0.021549054414721915,2.6762863824753436,0.9884783739175881,0.0
humidity_land-wtd,0.00016037948649903804,0.0004048567355439029,1.0330352200451918,0.9793228971860807,0.0
humidity_pop-wtd,0.0001675313474424468,0.0004125992901336621,1.0347278028446596,0.9754735558879447,0.0
irradiance-surface_land-wtd,3.111414529290785,5.968867175509949,,0.9995058390135443,0.0
irradiance-surface_pop-wtd,3.824889298746103,7.522339944446777,,0.9991976306282422,0.0
irradiance-toa_land-wtd,0.07396179873679727,5.178376239342046,,0.9998861295455016,0.0013268758707622903
irradiance-toa_pop-wtd,0.07198407748955057,5.772425073354601,,0.999859638710181,0.0
precipitation_land-wtd,0.017381649306707356,0.053929969505158326,,0.9424510257196946,0.0
precipitation_pop-wtd,0.019246361042924435,0.05560139052943258,,0.946711058738385,0.0
temperature_land-wtd,0.06992199296755788,0.15455832943467707,0.2748171866924801,0.9984340836872234,0.0
temperature_pop-wtd,0.07552314734956543,0.17789827267929909,0.2825564867824173,0.9975795456286404,0.0
wind-speed_land-wtd,0.03223688714920719,0.05487584619231636,2.3158430479713155,0.9915159326704116,0.0
wind-speed_pop-wtd,0.047735553638957075,0.07745992061746056,2.7291130459738127,0.9884880471727531,0.0
