The prediction is 1.246, 1.189, 1.113.
The prediction is 1.077, 0.969, 0.893.
The prediction is 1.069, 1.004, 0.969.
The prediction is 0.958, 0.893, 1.089.
The prediction is 0.799, 0.893, 1.122.
The prediction is 0.974, 1.283, 1.435.
The prediction is 1.273, 1.435, 1.535.
The prediction is 1.408, 1.476, 1.535.
The prediction is 1.263, 1.284, 1.336.
The prediction is 1.435, 1.512, 1.605.
The prediction is 1.706, 1.834, 1.921.
The prediction is 1.806, 1.858, 1.871.
The prediction is 1.936, 1.972, 1.972.
The prediction is 2.069, 2.087, 2.023.
The prediction is 2.037, 1.932, 1.697.
The prediction is 1.899, 1.618, 1.225.
The prediction is 1.745, 1.312, 1.282.
The prediction is 1.351, 1.329, 1.417.
The prediction is 1.281, 1.353, 1.391.
The prediction is 1.435, 1.496, 1.518.
The prediction is 1.472, 1.472, 1.457.
The prediction is 1.457, 1.435, 1.4.
The prediction is 1.314, 1.227, 1.137.
The prediction is 1.146, 1.044, 0.969.
The prediction is 1.113, 1.072, 1.037.
The prediction is 1.071, 1.037, 0.989.
The prediction is 1.058, 1.012, 0.969.
The prediction is 1.058, 1.028, 1.302.
The prediction is 0.996, 1.282, 1.659.
The prediction is 1.252, 1.606, 1.804.
The prediction is 1.658, 1.842, 1.854.
The prediction is 1.802, 1.854, 1.854.
The prediction is 1.706, 1.702, 1.715.
The prediction is 1.497, 1.389, 1.336.
The prediction is 1.589, 1.632, 1.691.
The prediction is 1.603, 1.672, 1.745.
The prediction is 1.517, 1.493, 1.457.
The prediction is 1.517, 1.493, 1.423.
The prediction is 1.524, 1.464, 1.321.
The prediction is 1.463, 1.344, 1.072.
The prediction is 1.413, 1.17, 1.231.
The prediction is 1.015, 1.013, 1.099.
The prediction is 1.052, 1.146, 1.203.
The prediction is 1.374, 1.496, 1.535.
The prediction is 1.462, 1.472, 1.457.
The prediction is 1.472, 1.447, 1.417.
The prediction is 1.435, 1.381, 1.302.
The prediction is 1.381, 1.302, 1.227.
The prediction is 1.236, 1.146, 1.072.
The prediction is 1.023, 0.918, 0.836.
The prediction is 0.875, 0.798, 0.758.
The prediction is 0.798, 0.781, 1.006.
The prediction is 0.775, 1.009, 1.302.
The prediction is 1.089, 1.398, 1.496.
The prediction is 1.496, 1.633, 1.657.
The prediction is 1.488, 1.415, 1.415.
The prediction is 1.284, 1.248, 1.263.
The prediction is 1.281, 1.336, 1.405.
The prediction is 1.161, 1.164, 1.212.
The prediction is 1.405, 1.541, 1.657.
The prediction is 1.715, 1.842, 1.854.
The prediction is 1.872, 1.932, 1.855.
The prediction is 1.972, 1.932, 1.734.
The prediction is 1.987, 1.768, 1.378.
The prediction is 1.965, 1.618, 1.658.
The prediction is 1.602, 1.706, 1.852.
The prediction is 1.485, 1.552, 1.566.
The prediction is 1.748, 1.804, 1.786.
The prediction is 1.715, 1.674, 1.615.
The prediction is 1.674, 1.641, 1.6.
The prediction is 1.574, 1.498, 1.417.
The prediction is 1.545, 1.488, 1.417.
The prediction is 1.443, 1.368, 1.293.
The prediction is 1.336, 1.236, 1.133.
The prediction is 1.223, 1.113, 1.033.
The prediction is 1.085, 1.004, 1.302.
The prediction is 1.015, 1.283, 1.655.
The prediction is 1.273, 1.606, 1.753.
The prediction is 1.658, 1.802, 1.786.
The prediction is 1.802, 1.806, 1.794.
The prediction is 1.615, 1.615, 1.658.
The prediction is 1.463, 1.415, 1.415.
The prediction is 1.674, 1.795, 1.894.
The prediction is 1.781, 1.885, 1.972.
The prediction is 1.842, 1.894, 1.922.
The prediction is 1.921, 1.932, 1.871.
The prediction is 1.932, 1.871, 1.674.
The prediction is 1.875, 1.674, 1.282.
The prediction is 1.667, 1.281, 1.3.
The prediction is 1.238, 1.229, 1.3.
The prediction is 1.298, 1.408, 1.464.
The prediction is 1.435, 1.496, 1.511.
The prediction is 1.435, 1.415, 1.391.
The prediction is 1.472, 1.472, 1.464.
The prediction is 1.405, 1.358, 1.302.
The prediction is 1.358, 1.302, 1.227.
The prediction is 1.336, 1.296, 1.248.
The prediction is 1.302, 1.236, 1.137.
The prediction is 1.281, 1.194, 1.095.
The prediction is 1.193, 1.135, 1.435.
The prediction is 1.094, 1.362, 1.713.
The prediction is 1.282, 1.656, 1.804.
The prediction is 1.602, 1.733, 1.753.
The prediction is 1.794, 1.802, 1.835.
The prediction is 1.802, 1.801, 1.801.
The prediction is 1.801, 1.801, 1.806.
The prediction is 1.972, 2.079, 2.164.
The prediction is 2.009, 2.069, 2.107.
The prediction is 2.137, 2.205, 2.238.
The prediction is 2.161, 2.161, 2.073.
The prediction is 2.218, 2.163, 1.965.
The prediction is 2.163, 1.906, 1.478.
The prediction is 2.052, 1.647, 1.658.
The prediction is 1.606, 1.633, 1.753.
The prediction is 1.535, 1.653, 1.701.
The prediction is 1.603, 1.633, 1.635.
The prediction is 1.545, 1.498, 1.457.
The prediction is 1.603, 1.622, 1.607.
The prediction is 1.603, 1.609, 1.591.
The prediction is 1.609, 1.598, 1.548.
The prediction is 1.568, 1.503, 1.399.
The prediction is 1.399, 1.296, 1.201.
The prediction is 1.193, 1.072, 0.996.
The prediction is 1.017, 0.958, 1.209.
The prediction is 0.846, 1.029, 1.302.
The prediction is 1.079, 1.398, 1.596.
The prediction is 1.399, 1.605, 1.713.
The prediction is 1.658, 1.715, 1.753.
The prediction is 1.855, 1.952, 2.005.
The prediction is 1.658, 1.648, 1.658.
The prediction is 1.602, 1.602, 1.615.
The prediction is 1.602, 1.602, 1.603.
The prediction is 1.638, 1.671, 1.697.
The prediction is 1.687, 1.704, 1.661.
The prediction is 1.658, 1.602, 1.457.
The prediction is 1.552, 1.414, 1.153.
