The prediction is 0.367, 0.352, 0.331, 0.259, 0.197.
The prediction is 0.336, 0.314, 0.239, 0.17, 0.139.
The prediction is 0.314, 0.239, 0.17, 0.143, 0.083.
The prediction is 0.229, 0.17, 0.148, 0.101, 0.124.
The prediction is 0.202, 0.157, 0.083, 0.096, 0.124.
The prediction is 0.171, 0.083, 0.098, 0.124, 0.188.
The prediction is 0.083, 0.102, 0.14, 0.237, 0.358.
The prediction is 0.063, 0.102, 0.183, 0.292, 0.341.
The prediction is 0.052, 0.079, 0.103, 0.114, 0.112.
The prediction is 0.073, 0.102, 0.114, 0.114, 0.103.
The prediction is 0.201, 0.238, 0.239, 0.219, 0.173.
The prediction is 0.379, 0.408, 0.376, 0.298, 0.216.
The prediction is 0.287, 0.259, 0.219, 0.161, 0.129.
The prediction is 0.259, 0.194, 0.127, 0.098, 0.083.
The prediction is 0.202, 0.145, 0.117, 0.1, 0.094.
The prediction is 0.161, 0.136, 0.124, 0.117, 0.106.
The prediction is 0.119, 0.109, 0.098, 0.087, 0.077.
The prediction is 0.112, 0.106, 0.099, 0.091, 0.085.
The prediction is 0.112, 0.106, 0.098, 0.093, 0.093.
The prediction is 0.112, 0.101, 0.095, 0.095, 0.102.
The prediction is 0.124, 0.124, 0.124, 0.124, 0.124.
The prediction is 0.114, 0.114, 0.116, 0.116, 0.116.
The prediction is 0.098, 0.097, 0.097, 0.097, 0.097.
The prediction is 0.095, 0.095, 0.095, 0.094, 0.077.
The prediction is 0.091, 0.091, 0.089, 0.076, 0.067.
The prediction is 0.093, 0.094, 0.076, 0.058, 0.047.
The prediction is 0.093, 0.076, 0.057, 0.047, 0.05.
The prediction is 0.074, 0.057, 0.047, 0.05, 0.058.
The prediction is 0.074, 0.071, 0.068, 0.084, 0.116.
The prediction is 0.064, 0.068, 0.085, 0.112, 0.168.
The prediction is 0.068, 0.086, 0.134, 0.223, 0.306.
The prediction is 0.093, 0.138, 0.219, 0.306, 0.348.
The prediction is 0.162, 0.287, 0.399, 0.461, 0.459.
The prediction is 0.283, 0.399, 0.461, 0.459, 0.403.
The prediction is 0.336, 0.368, 0.359, 0.315, 0.254.
The prediction is 0.408, 0.397, 0.355, 0.302, 0.237.
The prediction is 0.322, 0.281, 0.229, 0.176, 0.154.
The prediction is 0.261, 0.217, 0.175, 0.148, 0.132.
The prediction is 0.194, 0.145, 0.128, 0.112, 0.099.
The prediction is 0.161, 0.135, 0.128, 0.128, 0.124.
The prediction is 0.161, 0.161, 0.161, 0.159, 0.151.
The prediction is 0.135, 0.128, 0.12, 0.109, 0.106.
The prediction is 0.124, 0.109, 0.097, 0.092, 0.093.
The prediction is 0.106, 0.093, 0.085, 0.084, 0.086.
The prediction is 0.095, 0.092, 0.093, 0.095, 0.095.
The prediction is 0.08, 0.076, 0.076, 0.077, 0.077.
The prediction is 0.065, 0.062, 0.062, 0.062, 0.062.
The prediction is 0.063, 0.062, 0.062, 0.062, 0.054.
The prediction is 0.064, 0.064, 0.064, 0.055, 0.047.
The prediction is 0.058, 0.053, 0.037, 0.025, 0.021.
The prediction is 0.058, 0.049, 0.041, 0.037, 0.044.
The prediction is 0.053, 0.044, 0.037, 0.028, 0.035.
The prediction is 0.057, 0.052, 0.038, 0.045, 0.068.
The prediction is 0.061, 0.044, 0.055, 0.086, 0.171.
The prediction is 0.038, 0.05, 0.079, 0.134, 0.189.
The prediction is 0.038, 0.058, 0.127, 0.201, 0.238.
The prediction is 0.058, 0.119, 0.201, 0.238, 0.238.
The prediction is 0.119, 0.201, 0.238, 0.243, 0.217.
The prediction is 0.173, 0.191, 0.189, 0.17, 0.139.
The prediction is 0.191, 0.191, 0.17, 0.14, 0.102.
The prediction is 0.17, 0.151, 0.121, 0.088, 0.074.
The prediction is 0.14, 0.11, 0.079, 0.061, 0.052.
The prediction is 0.121, 0.091, 0.073, 0.062, 0.056.
The prediction is 0.084, 0.059, 0.048, 0.041, 0.036.
The prediction is 0.074, 0.063, 0.054, 0.048, 0.044.
The prediction is 0.069, 0.059, 0.051, 0.044, 0.041.
The prediction is 0.059, 0.051, 0.044, 0.041, 0.041.
The prediction is 0.065, 0.059, 0.059, 0.061, 0.063.
