The prediction is 0.391, 0.392, 0.392, 0.325, 0.269.
The prediction is 0.379, 0.379, 0.325, 0.277, 0.257.
The prediction is 0.329, 0.239, 0.168, 0.122, 0.072.
The prediction is 0.239, 0.181, 0.155, 0.075, 0.084.
The prediction is 0.2, 0.177, 0.075, 0.082, 0.099.
The prediction is 0.148, 0.088, 0.09, 0.101, 0.148.
The prediction is 0.085, 0.096, 0.124, 0.219, 0.353.
The prediction is 0.074, 0.099, 0.154, 0.221, 0.262.
The prediction is 0.088, 0.136, 0.208, 0.258, 0.262.
The prediction is 0.135, 0.208, 0.246, 0.246, 0.229.
The prediction is 0.259, 0.313, 0.329, 0.298, 0.257.
The prediction is 0.379, 0.372, 0.332, 0.269, 0.199.
The prediction is 0.329, 0.289, 0.227, 0.154, 0.122.
The prediction is 0.265, 0.202, 0.131, 0.103, 0.089.
The prediction is 0.199, 0.133, 0.111, 0.099, 0.1.
The prediction is 0.151, 0.122, 0.099, 0.09, 0.082.
The prediction is 0.109, 0.089, 0.084, 0.082, 0.082.
The prediction is 0.084, 0.082, 0.082, 0.082, 0.085.
The prediction is 0.09, 0.087, 0.087, 0.087, 0.087.
The prediction is 0.092, 0.092, 0.092, 0.09, 0.087.
The prediction is 0.098, 0.098, 0.097, 0.097, 0.097.
The prediction is 0.098, 0.097, 0.097, 0.097, 0.097.
The prediction is 0.09, 0.087, 0.087, 0.087, 0.087.
The prediction is 0.096, 0.097, 0.097, 0.097, 0.081.
The prediction is 0.101, 0.1, 0.094, 0.076, 0.061.
The prediction is 0.108, 0.106, 0.084, 0.063, 0.049.
The prediction is 0.113, 0.091, 0.072, 0.057, 0.058.
The prediction is 0.088, 0.065, 0.047, 0.033, 0.039.
The prediction is 0.091, 0.084, 0.088, 0.113, 0.151.
The prediction is 0.063, 0.049, 0.057, 0.079, 0.133.
The prediction is 0.058, 0.065, 0.088, 0.151, 0.213.
The prediction is 0.112, 0.151, 0.237, 0.325, 0.379.
The prediction is 0.121, 0.208, 0.299, 0.332, 0.329.
The prediction is 0.221, 0.299, 0.332, 0.329, 0.292.
The prediction is 0.282, 0.329, 0.329, 0.298, 0.256.
The prediction is 0.358, 0.358, 0.329, 0.291, 0.241.
The prediction is 0.256, 0.215, 0.173, 0.129, 0.114.
The prediction is 0.2, 0.166, 0.122, 0.099, 0.091.
The prediction is 0.122, 0.082, 0.067, 0.057, 0.052.
The prediction is 0.112, 0.099, 0.094, 0.094, 0.094.
The prediction is 0.108, 0.095, 0.094, 0.092, 0.092.
The prediction is 0.095, 0.095, 0.092, 0.092, 0.096.
The prediction is 0.07, 0.065, 0.063, 0.063, 0.065.
The prediction is 0.063, 0.055, 0.052, 0.051, 0.051.
The prediction is 0.063, 0.063, 0.065, 0.068, 0.072.
The prediction is 0.057, 0.059, 0.063, 0.065, 0.065.
The prediction is 0.051, 0.051, 0.051, 0.051, 0.051.
The prediction is 0.051, 0.051, 0.051, 0.051, 0.043.
The prediction is 0.051, 0.051, 0.051, 0.04, 0.031.
The prediction is 0.051, 0.051, 0.04, 0.031, 0.027.
The prediction is 0.057, 0.051, 0.043, 0.038, 0.033.
The prediction is 0.051, 0.04, 0.034, 0.03, 0.035.
The prediction is 0.09, 0.098, 0.085, 0.101, 0.132.
The prediction is 0.073, 0.088, 0.113, 0.151, 0.221.
The prediction is 0.088, 0.113, 0.151, 0.221, 0.299.
The prediction is 0.039, 0.064, 0.13, 0.208, 0.262.
The prediction is 0.048, 0.079, 0.106, 0.116, 0.116.
The prediction is 0.112, 0.163, 0.183, 0.175, 0.159.
The prediction is 0.132, 0.143, 0.142, 0.122, 0.099.
The prediction is 0.136, 0.133, 0.118, 0.099, 0.074.
The prediction is 0.122, 0.106, 0.085, 0.061, 0.051.
The prediction is 0.103, 0.085, 0.065, 0.057, 0.057.
The prediction is 0.087, 0.065, 0.051, 0.041, 0.036.
The prediction is 0.063, 0.051, 0.044, 0.041, 0.038.
The prediction is 0.057, 0.051, 0.051, 0.051, 0.051.
The prediction is 0.052, 0.052, 0.051, 0.051, 0.051.
The prediction is 0.042, 0.038, 0.033, 0.03, 0.029.
The prediction is 0.045, 0.042, 0.041, 0.041, 0.042.
The prediction is 0.038, 0.034, 0.032, 0.032, 0.032.
The prediction is 0.037, 0.036, 0.036, 0.036, 0.036.
The prediction is 0.045, 0.05, 0.054, 0.057, 0.058.
The prediction is 0.05, 0.054, 0.057, 0.057, 0.047.
The prediction is 0.057, 0.062, 0.065, 0.054, 0.041.
The prediction is 0.062, 0.065, 0.054, 0.041, 0.033.
The prediction is 0.062, 0.051, 0.038, 0.032, 0.033.
The prediction is 0.051, 0.038, 0.032, 0.033, 0.042.
The prediction is 0.048, 0.045, 0.067, 0.074, 0.102.
The prediction is 0.044, 0.067, 0.075, 0.101, 0.162.
The prediction is 0.035, 0.038, 0.051, 0.075, 0.102.
The prediction is 0.194, 0.282, 0.488, 0.704, 0.804.
The prediction is 0.355, 0.564, 0.732, 0.782, 0.704.
The prediction is 0.564, 0.724, 0.782, 0.754, 0.685.
The prediction is 0.682, 0.732, 0.702, 0.634, 0.567.
The prediction is 0.804, 0.811, 0.782, 0.715, 0.615.
The prediction is 0.685, 0.619, 0.517, 0.399, 0.302.
The prediction is 0.519, 0.399, 0.249, 0.184, 0.154.
The prediction is 0.399, 0.249, 0.184, 0.147, 0.125.
The prediction is 0.339, 0.309, 0.259, 0.229, 0.214.
The prediction is 0.419, 0.369, 0.329, 0.302, 0.286.
The prediction is 0.369, 0.329, 0.302, 0.286, 0.279.
The prediction is 0.359, 0.329, 0.302, 0.299, 0.3.
The prediction is 0.361, 0.347, 0.339, 0.331, 0.331.
The prediction is 0.349, 0.339, 0.331, 0.331, 0.331.
The prediction is 0.329, 0.331, 0.331, 0.331, 0.331.
The prediction is 0.28, 0.273, 0.265, 0.253, 0.241.
The prediction is 0.298, 0.3, 0.3, 0.298, 0.209.
The prediction is 0.313, 0.313, 0.313, 0.259, 0.191.
The prediction is 0.298, 0.285, 0.209, 0.143, 0.098.
The prediction is 0.299, 0.229, 0.154, 0.099, 0.057.
The prediction is 0.229, 0.161, 0.118, 0.072, 0.085.
The prediction is 0.191, 0.161, 0.088, 0.097, 0.124.
The prediction is 0.152, 0.085, 0.097, 0.124, 0.181.
The prediction is 0.085, 0.097, 0.124, 0.181, 0.254.
The prediction is 0.213, 0.299, 0.478, 0.632, 0.695.
The prediction is 0.266, 0.423, 0.593, 0.656, 0.632.
The prediction is 0.372, 0.503, 0.593, 0.589, 0.529.
The prediction is 0.476, 0.532, 0.529, 0.495, 0.437.
The prediction is 0.593, 0.589, 0.529, 0.451, 0.358.
The prediction is 0.609, 0.567, 0.509, 0.427, 0.403.
The prediction is 0.431, 0.355, 0.273, 0.258, 0.266.
The prediction is 0.312, 0.225, 0.194, 0.194, 0.193.
The prediction is 0.194, 0.161, 0.162, 0.162, 0.158.
The prediction is 0.194, 0.194, 0.199, 0.212, 0.226.
The prediction is 0.182, 0.182, 0.182, 0.182, 0.186.
The prediction is 0.135, 0.115, 0.099, 0.088, 0.082.
The prediction is 0.141, 0.131, 0.129, 0.129, 0.134.
The prediction is 0.135, 0.133, 0.133, 0.134, 0.134.
The prediction is 0.161, 0.175, 0.191, 0.2, 0.191.
The prediction is 0.161, 0.171, 0.175, 0.175, 0.175.
The prediction is 0.163, 0.163, 0.161, 0.161, 0.131.
The prediction is 0.163, 0.161, 0.152, 0.122, 0.092.
The prediction is 0.152, 0.137, 0.099, 0.073, 0.058.
The prediction is 0.137, 0.099, 0.071, 0.057, 0.042.
The prediction is 0.099, 0.071, 0.057, 0.04, 0.058.
The prediction is 0.108, 0.096, 0.085, 0.112, 0.163.
The prediction is 0.092, 0.077, 0.089, 0.124, 0.189.
The prediction is 0.058, 0.079, 0.124, 0.194, 0.274.
The prediction is 0.135, 0.209, 0.353, 0.488, 0.556.
The prediction is 0.135, 0.237, 0.393, 0.488, 0.493.
The prediction is 0.141, 0.218, 0.269, 0.279, 0.262.
The prediction is 0.135, 0.161, 0.175, 0.175, 0.162.
The prediction is 0.135, 0.137, 0.127, 0.109, 0.085.
The prediction is 0.113, 0.099, 0.085, 0.065, 0.057.
The prediction is 0.106, 0.085, 0.065, 0.057, 0.051.
The prediction is 0.073, 0.051, 0.04, 0.032, 0.029.
The prediction is 0.057, 0.049, 0.044, 0.044, 0.043.
The prediction is 0.049, 0.044, 0.041, 0.039, 0.039.
The prediction is 0.039, 0.039, 0.039, 0.041, 0.045.
The prediction is 0.029, 0.025, 0.024, 0.025, 0.027.
The prediction is 0.026, 0.024, 0.025, 0.027, 0.029.
The prediction is 0.025, 0.025, 0.026, 0.027, 0.029.
The prediction is 0.025, 0.025, 0.025, 0.025, 0.024.
The prediction is 0.025, 0.025, 0.025, 0.025, 0.024.
The prediction is 0.03, 0.032, 0.034, 0.035, 0.029.
The prediction is 0.035, 0.036, 0.036, 0.029, 0.023.
The prediction is 0.036, 0.036, 0.028, 0.022, 0.018.
The prediction is 0.037, 0.029, 0.022, 0.018, 0.024.
The prediction is 0.035, 0.029, 0.025, 0.033, 0.046.
The prediction is 0.038, 0.038, 0.067, 0.078, 0.101.
The prediction is 0.042, 0.067, 0.078, 0.101, 0.153.
The prediction is 0.049, 0.057, 0.075, 0.112, 0.139.
The prediction is 0.101, 0.138, 0.206, 0.269, 0.299.
The prediction is 0.158, 0.221, 0.299, 0.329, 0.329.
The prediction is 0.347, 0.505, 0.609, 0.619, 0.573.
The prediction is 0.372, 0.419, 0.434, 0.413, 0.355.
The prediction is 0.463, 0.463, 0.418, 0.355, 0.284.
The prediction is 0.453, 0.418, 0.369, 0.306, 0.282.
The prediction is 0.369, 0.306, 0.239, 0.214, 0.214.
The prediction is 0.3, 0.239, 0.214, 0.214, 0.221.
The prediction is 0.239, 0.216, 0.214, 0.214, 0.212.
The prediction is 0.278, 0.272, 0.272, 0.272, 0.272.
The prediction is 0.252, 0.252, 0.253, 0.253, 0.252.
The prediction is 0.213, 0.2, 0.185, 0.182, 0.182.
The prediction is 0.18, 0.16, 0.142, 0.131, 0.127.
The prediction is 0.152, 0.138, 0.131, 0.131, 0.131.
The prediction is 0.139, 0.131, 0.131, 0.131, 0.131.
The prediction is 0.13, 0.129, 0.129, 0.129, 0.129.
The prediction is 0.125, 0.125, 0.125, 0.125, 0.099.
The prediction is 0.125, 0.125, 0.125, 0.099, 0.078.
The prediction is 0.113, 0.101, 0.078, 0.061, 0.052.
The prediction is 0.113, 0.091, 0.073, 0.063, 0.088.
The prediction is 0.085, 0.067, 0.057, 0.058, 0.071.
The prediction is 0.079, 0.073, 0.084, 0.113, 0.158.
The prediction is 0.067, 0.073, 0.085, 0.119, 0.196.
The prediction is 0.033, 0.039, 0.057, 0.112, 0.156.
The prediction is 0.161, 0.237, 0.406, 0.576, 0.632.
The prediction is 0.136, 0.209, 0.279, 0.302, 0.298.
The prediction is 0.209, 0.279, 0.308, 0.298, 0.266.
The prediction is 0.252, 0.277, 0.272, 0.251, 0.211.
The prediction is 0.409, 0.415, 0.369, 0.292, 0.209.
The prediction is 0.405, 0.369, 0.302, 0.236, 0.209.
The prediction is 0.463, 0.415, 0.348, 0.332, 0.332.
The prediction is 0.302, 0.236, 0.234, 0.236, 0.248.
The prediction is 0.338, 0.336, 0.336, 0.336, 0.336.
The prediction is 0.282, 0.266, 0.252, 0.243, 0.236.
The prediction is 0.209, 0.182, 0.162, 0.143, 0.135.
The prediction is 0.209, 0.194, 0.182, 0.182, 0.182.
The prediction is 0.2, 0.185, 0.18, 0.18, 0.18.
The prediction is 0.202, 0.202, 0.202, 0.202, 0.198.
The prediction is 0.215, 0.213, 0.211, 0.213, 0.214.
The prediction is 0.213, 0.214, 0.215, 0.213, 0.214.
The prediction is 0.215, 0.215, 0.215, 0.214, 0.182.
The prediction is 0.193, 0.182, 0.175, 0.145, 0.122.
The prediction is 0.175, 0.162, 0.126, 0.099, 0.086.
The prediction is 0.161, 0.126, 0.099, 0.084, 0.088.
The prediction is 0.118, 0.084, 0.068, 0.077, 0.092.
The prediction is 0.135, 0.129, 0.095, 0.119, 0.158.
The prediction is 0.112, 0.095, 0.119, 0.158, 0.237.
The prediction is 0.085, 0.097, 0.124, 0.181, 0.237.
The prediction is 0.135, 0.181, 0.29, 0.405, 0.463.
The prediction is 0.209, 0.353, 0.506, 0.605, 0.598.
The prediction is 0.353, 0.506, 0.598, 0.609, 0.567.
The prediction is 0.478, 0.532, 0.52, 0.461, 0.377.
The prediction is 0.508, 0.505, 0.461, 0.397, 0.329.
The prediction is 0.604, 0.571, 0.504, 0.399, 0.372.
The prediction is 0.451, 0.358, 0.273, 0.234, 0.209.
The prediction is 0.413, 0.302, 0.259, 0.234, 0.209.
The prediction is 0.302, 0.278, 0.266, 0.266, 0.272.
The prediction is 0.273, 0.258, 0.252, 0.252, 0.252.
The prediction is 0.243, 0.236, 0.236, 0.238, 0.248.
The prediction is 0.193, 0.181, 0.175, 0.175, 0.184.
The prediction is 0.171, 0.161, 0.161, 0.161, 0.161.
The prediction is 0.152, 0.152, 0.161, 0.175, 0.193.
The prediction is 0.135, 0.125, 0.125, 0.125, 0.125.
The prediction is 0.129, 0.125, 0.125, 0.125, 0.125.
The prediction is 0.125, 0.119, 0.113, 0.106, 0.082.
The prediction is 0.115, 0.106, 0.095, 0.072, 0.056.
The prediction is 0.098, 0.084, 0.057, 0.04, 0.032.
The prediction is 0.092, 0.066, 0.051, 0.045, 0.036.
The prediction is 0.072, 0.057, 0.049, 0.03, 0.039.
The prediction is 0.067, 0.063, 0.038, 0.048, 0.079.
The prediction is 0.063, 0.062, 0.078, 0.113, 0.209.
The prediction is 0.067, 0.085, 0.124, 0.206, 0.299.
The prediction is 0.051, 0.072, 0.148, 0.226, 0.254.
The prediction is 0.112, 0.223, 0.337, 0.405, 0.403.
The prediction is 0.223, 0.353, 0.423, 0.434, 0.394.
The prediction is 0.276, 0.308, 0.3, 0.262, 0.2.
The prediction is 0.254, 0.254, 0.223, 0.181, 0.133.
The prediction is 0.209, 0.172, 0.133, 0.099, 0.084.
The prediction is 0.161, 0.111, 0.071, 0.057, 0.048.
The prediction is 0.148, 0.106, 0.085, 0.065, 0.058.
The prediction is 0.112, 0.093, 0.073, 0.063, 0.058.
The prediction is 0.112, 0.101, 0.094, 0.088, 0.082.
The prediction is 0.1, 0.094, 0.088, 0.082, 0.075.
The prediction is 0.112, 0.106, 0.099, 0.094, 0.091.
The prediction is 0.092, 0.082, 0.075, 0.075, 0.077.
The prediction is 0.097, 0.097, 0.097, 0.097, 0.097.
The prediction is 0.112, 0.121, 0.129, 0.131, 0.131.
The prediction is 0.121, 0.131, 0.137, 0.137, 0.131.
The prediction is 0.121, 0.121, 0.121, 0.121, 0.099.
The prediction is 0.129, 0.129, 0.121, 0.091, 0.065.
The prediction is 0.13, 0.121, 0.095, 0.073, 0.058.
The prediction is 0.121, 0.093, 0.073, 0.061, 0.088.
The prediction is 0.112, 0.092, 0.082, 0.084, 0.088.
The prediction is 0.128, 0.129, 0.221, 0.229, 0.272.
The prediction is 0.112, 0.221, 0.239, 0.285, 0.419.
The prediction is 0.223, 0.239, 0.285, 0.423, 0.593.
The prediction is 0.161, 0.209, 0.308, 0.405, 0.444.
The prediction is 0.194, 0.3, 0.405, 0.444, 0.438.
The prediction is 0.372, 0.508, 0.564, 0.549, 0.499.
The prediction is 0.308, 0.325, 0.302, 0.272, 0.227.
The prediction is 0.405, 0.394, 0.354, 0.302, 0.239.
The prediction is 0.405, 0.368, 0.302, 0.236, 0.204.
The prediction is 0.402, 0.348, 0.272, 0.226, 0.196.
The prediction is 0.265, 0.193, 0.161, 0.143, 0.133.
The prediction is 0.193, 0.173, 0.163, 0.162, 0.16.
The prediction is 0.173, 0.162, 0.162, 0.161, 0.161.
The prediction is 0.173, 0.175, 0.175, 0.175, 0.182.
The prediction is 0.163, 0.161, 0.161, 0.161, 0.16.
The prediction is 0.161, 0.161, 0.163, 0.175, 0.184.
The prediction is 0.144, 0.138, 0.131, 0.131, 0.131.
The prediction is 0.146, 0.144, 0.144, 0.144, 0.144.
The prediction is 0.144, 0.144, 0.144, 0.144, 0.144.
The prediction is 0.134, 0.134, 0.134, 0.134, 0.111.
The prediction is 0.129, 0.125, 0.121, 0.095, 0.074.
The prediction is 0.129, 0.129, 0.112, 0.094, 0.084.
The prediction is 0.121, 0.095, 0.073, 0.057, 0.044.
The prediction is 0.095, 0.073, 0.057, 0.044, 0.051.
The prediction is 0.112, 0.109, 0.2, 0.217, 0.285.
The prediction is 0.112, 0.171, 0.209, 0.283, 0.404.
The prediction is 0.088, 0.113, 0.151, 0.237, 0.325.
The prediction is 0.171, 0.237, 0.364, 0.504, 0.588.
The prediction is 0.313, 0.488, 0.602, 0.632, 0.588.
The prediction is 0.488, 0.632, 0.684, 0.632, 0.548.
The prediction is 0.419, 0.438, 0.415, 0.368, 0.3.
The prediction is 0.471, 0.448, 0.394, 0.317, 0.236.
The prediction is 0.447, 0.391, 0.315, 0.236, 0.201.
The prediction is 0.4, 0.346, 0.272, 0.236, 0.236.
The prediction is 0.265, 0.18, 0.141, 0.125, 0.123.
The prediction is 0.193, 0.161, 0.151, 0.151, 0.151.
The prediction is 0.173, 0.162, 0.161, 0.161, 0.16.
The prediction is 0.162, 0.162, 0.161, 0.161, 0.16.
The prediction is 0.135, 0.128, 0.128, 0.128, 0.129.
The prediction is 0.122, 0.108, 0.099, 0.099, 0.103.
The prediction is 0.108, 0.098, 0.095, 0.095, 0.095.
The prediction is 0.112, 0.112, 0.118, 0.125, 0.129.
The prediction is 0.098, 0.095, 0.095, 0.095, 0.095.
The prediction is 0.1, 0.098, 0.095, 0.094, 0.082.
The prediction is 0.103, 0.098, 0.092, 0.072, 0.057.
The prediction is 0.108, 0.106, 0.092, 0.082, 0.082.
The prediction is 0.108, 0.095, 0.082, 0.074, 0.085.
The prediction is 0.085, 0.068, 0.059, 0.03, 0.039.
The prediction is 0.093, 0.092, 0.058, 0.071, 0.098.
The prediction is 0.112, 0.058, 0.071, 0.098, 0.161.
The prediction is 0.058, 0.068, 0.093, 0.162, 0.237.
The prediction is 0.112, 0.146, 0.206, 0.246, 0.252.
The prediction is 0.135, 0.212, 0.276, 0.285, 0.272.
The prediction is 0.161, 0.212, 0.246, 0.247, 0.231.
The prediction is 0.171, 0.193, 0.193, 0.175, 0.145.
The prediction is 0.193, 0.193, 0.175, 0.145, 0.108.
The prediction is 0.209, 0.193, 0.159, 0.122, 0.099.
The prediction is 0.182, 0.145, 0.112, 0.099, 0.092.
The prediction is 0.146, 0.111, 0.096, 0.092, 0.092.
The prediction is 0.121, 0.098, 0.092, 0.092, 0.092.
The prediction is 0.099, 0.092, 0.092, 0.092, 0.092.
The prediction is 0.1, 0.095, 0.088, 0.082, 0.082.
The prediction is 0.112, 0.108, 0.101, 0.097, 0.097.
The prediction is 0.128, 0.135, 0.135, 0.135, 0.137.
The prediction is 0.122, 0.123, 0.123, 0.123, 0.123.
The prediction is 0.112, 0.114, 0.114, 0.114, 0.114.
The prediction is 0.132, 0.137, 0.137, 0.131, 0.121.
The prediction is 0.123, 0.123, 0.123, 0.123, 0.1.
The prediction is 0.119, 0.119, 0.119, 0.095, 0.074.
The prediction is 0.108, 0.099, 0.085, 0.074, 0.069.
The prediction is 0.099, 0.085, 0.074, 0.069, 0.128.
The prediction is 0.079, 0.062, 0.051, 0.069, 0.085.
The prediction is 0.073, 0.065, 0.058, 0.068, 0.093.
The prediction is 0.073, 0.088, 0.113, 0.151, 0.221.
The prediction is 0.084, 0.097, 0.124, 0.176, 0.237.
The prediction is 0.098, 0.124, 0.176, 0.237, 0.269.
The prediction is 0.112, 0.161, 0.208, 0.246, 0.247.
The prediction is 0.151, 0.208, 0.262, 0.272, 0.262.
The prediction is 0.206, 0.226, 0.221, 0.202, 0.169.
The prediction is 0.254, 0.272, 0.272, 0.247, 0.193.
The prediction is 0.268, 0.247, 0.202, 0.147, 0.117.
The prediction is 0.272, 0.247, 0.202, 0.184, 0.184.
The prediction is 0.239, 0.181, 0.162, 0.161, 0.156.
The prediction is 0.213, 0.181, 0.173, 0.162, 0.151.
The prediction is 0.202, 0.186, 0.184, 0.18, 0.18.
The prediction is 0.214, 0.214, 0.213, 0.202, 0.211.
The prediction is 0.2, 0.185, 0.171, 0.173, 0.182.
The prediction is 0.173, 0.162, 0.162, 0.161, 0.16.
The prediction is 0.181, 0.182, 0.191, 0.202, 0.215.
The prediction is 0.182, 0.193, 0.2, 0.215, 0.229.
The prediction is 0.162, 0.162, 0.161, 0.161, 0.161.
The prediction is 0.129, 0.115, 0.103, 0.092, 0.066.
The prediction is 0.125, 0.115, 0.106, 0.083, 0.065.
The prediction is 0.122, 0.119, 0.091, 0.065, 0.049.
The prediction is 0.113, 0.091, 0.073, 0.063, 0.088.
The prediction is 0.083, 0.063, 0.051, 0.039, 0.046.
The prediction is 0.098, 0.097, 0.058, 0.065, 0.083.
The prediction is 0.112, 0.161, 0.183, 0.237, 0.353.
The prediction is 0.088, 0.113, 0.151, 0.237, 0.353.
The prediction is 0.161, 0.209, 0.325, 0.419, 0.466.
The prediction is 0.146, 0.211, 0.3, 0.372, 0.379.
The prediction is 0.221, 0.299, 0.332, 0.332, 0.3.
The prediction is 0.358, 0.424, 0.434, 0.405, 0.354.
The prediction is 0.463, 0.483, 0.456, 0.394, 0.318.
The prediction is 0.438, 0.415, 0.372, 0.318, 0.3.
The prediction is 0.411, 0.348, 0.265, 0.234, 0.236.
The prediction is 0.348, 0.273, 0.234, 0.236, 0.248.
The prediction is 0.3, 0.273, 0.266, 0.252, 0.252.
The prediction is 0.332, 0.337, 0.337, 0.337, 0.338.
The prediction is 0.348, 0.348, 0.348, 0.341, 0.337.
The prediction is 0.329, 0.325, 0.325, 0.331, 0.331.
The prediction is 0.339, 0.332, 0.332, 0.331, 0.331.
The prediction is 0.332, 0.332, 0.332, 0.332, 0.331.
The prediction is 0.332, 0.332, 0.332, 0.332, 0.331.
The prediction is 0.325, 0.325, 0.325, 0.325, 0.321.
The prediction is 0.312, 0.3, 0.292, 0.285, 0.239.
The prediction is 0.313, 0.3, 0.297, 0.257, 0.226.
The prediction is 0.325, 0.325, 0.286, 0.257, 0.241.
The prediction is 0.284, 0.228, 0.181, 0.152, 0.2.
