Variable,MAE,RMSE,SMAPE (%),R^2,Missing Rate (%)
air-density_land-wtd,0.0008388874882233501,0.0013495594679574648,0.0742603833133268,0.9921862191877757,0.0
air-density_pop-wtd,0.0009219851380042458,0.0024994723434664592,0.08050079614407102,0.9690157924188841,0.0013269462984833004
cloud-cover_land-wtd,0.036743641936810824,0.058769835711208446,7.02658346132288,0.9162774468089411,0.0
cloud-cover_pop-wtd,0.04653498142250531,0.07647623472148861,8.74934140173041,0.8548722996962203,0.0013269462984833004
humidity_land-wtd,0.0002865651043048993,0.0005456203593312848,1.880818212118993,0.9624362335651856,0.006634731492416501
humidity_pop-wtd,0.0003225075308199636,0.000585169546335973,2.0152887480117614,0.9506523226744936,0.005307785193933202
irradiance-surface_land-wtd,8.566596846008647,19.406219020089257,,0.9947960112290388,0.8784384495959449
irradiance-surface_pop-wtd,10.529267995382227,23.927352504307308,,0.9918820241118895,0.0
irradiance-toa_land-wtd,0.030074084002388913,2.3054460037834814,,0.9999774311038698,0.007961677790899803
irradiance-toa_pop-wtd,0.03138872095646236,2.492575491342786,,0.9999738290100715,0.0
precipitation_land-wtd,0.05422251562479266,0.11079355097067425,,0.7571175609710866,0.0
precipitation_pop-wtd,0.058220769363463855,0.12428004563686511,,0.7337693313953841,0.0
temperature_land-wtd,0.1773574861662177,0.3077871529651746,0.6795093988261212,0.993789373712514,0.002653892596966601
temperature_pop-wtd,0.19308071339472913,0.3281910149705291,0.7120248147889359,0.9917613922303087,0.003980838895449901
wind-speed_land-wtd,0.0841145966029724,0.1282922910492878,5.865104203685569,0.9536251525848459,0.0013269462984833004
wind-speed_pop-wtd,0.12798419076179993,0.1905674310673997,7.1256086649562205,0.9303236138918154,0.0
