0, 0, 0.
0, 0, 0.
0, 0, 0.875.
0, 0.843, 42.684.
0.842, 42.605, 141.087.
39.057, 135.462, 249.046.
159.219, 299.029, 431.008.
309.289, 449.029, 548.582.
438.219, 534.22, 584.496.
558.409, 610.408, 610.487.
618.389, 622.017, 572.704.
599.377, 540.702, 459.057.
557.409, 469.209, 359.046.
449.219, 331.008, 219.018.
329.029, 202.382, 91.682.
198.419, 89.047, 12.298.
87.499, 12.297, 0.
11.627, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.875.
0, 0.819, 42.684.
0.819, 44.505, 151.672.
47.489, 163.505, 301.687.
149.219, 279.409, 394.115.
298.489, 438.489, 546.782.
418.357, 518.239, 579.046.
499.057, 548.369, 558.377.
538.337, 538.409, 489.037.
537.409, 489.409, 405.654.
509.209, 429.409, 321.008.
438.409, 323.505, 199.317.
339.029, 219.029, 102.482.
218.389, 102.421, 15.386.
97.499, 14.397, 0.
14.027, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.875.
0, 0.875, 47.021.
0.875, 47.021, 161.008.
57.489, 191.771, 343.128.
208.839, 369.419, 508.397.
387.487, 540.841, 662.772.
538.337, 634.494, 682.704.
669.067, 740.702, 742.772.
715.495, 719.019, 664.772.
718.289, 665.587, 558.377.
669.857, 569.419, 419.057.
569.409, 429.029, 269.057.
429.029, 269.047, 123.482.
268.489, 117.489, 16.386.
117.409, 18.397, 0.
17.419, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 0.
0, 0, 1.274.
0, 1.292, 63.047.
1.313, 61.682, 219.078.
68.489, 229.409, 409.326.
218.419, 389.019, 541.33.
367.489, 509.289, 614.793.
498.357, 590.702, 638.587.
548.337, 582.72, 580.723.
589.409, 588.562, 529.407.
614.706, 568.489, 489.057.
589.409, 502.464, 379.046.
479.057, 359.409, 229.046.
349.029, 229.029, 106.021.
