0, 0, 0, 0, 6.602.
0, 0, 0, 6.602, 198.436.
0, 0, 6.602, 198.409, 501.972.
0, 6.602, 198.397, 502.012, 780.377.
6.602, 198.409, 502.012, 780.347, 1014.092.
198.407, 502.012, 780.378, 1014.098, 1187.17.
502.012, 780.342, 1014.098, 1187.184, 1287.897.
780.365, 1014.098, 1187.172, 1287.909, 1309.409.
1014.098, 1187.184, 1287.909, 1309.397, 1250.238.
1187.184, 1287.909, 1309.409, 1250.229, 1114.342.
1287.904, 1309.409, 1250.229, 1114.391, 911.181.
1309.409, 1250.229, 1114.394, 911.173, 654.428.
1250.274, 1114.399, 911.193, 654.405, 361.685.
1114.35, 911.193, 654.422, 361.71, 73.261.
911.182, 654.457, 361.71, 73.302, 0.
654.386, 361.71, 73.302, 0, 0.
360.971, 73.221, 0, 0, 0.
73.255, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 6.803.
0, 0, 0, 6.809, 199.046.
0, 0, 6.793, 199.047, 502.295.
0, 6.793, 199.047, 502.251, 780.274.
6.793, 199.047, 502.251, 780.245, 1013.683.
199.029, 502.259, 780.307, 1013.698, 1186.542.
502.297, 780.266, 1013.698, 1186.552, 1287.01.
780.304, 1013.698, 1186.542, 1287.081, 1308.602.
1013.67, 1186.571, 1287.08, 1308.609, 1249.488.
1186.64, 1287.081, 1308.609, 1249.489, 1113.831.
1287.128, 1308.609, 1249.463, 1113.806, 910.922.
1308.609, 1249.489, 1113.806, 910.895, 654.535.
1249.489, 1113.842, 910.898, 654.54, 362.167.
1114.001, 910.922, 654.505, 362.197, 73.842.
910.895, 654.53, 362.197, 73.806, 0.
654.536, 362.197, 73.842, 0, 0.
362.185, 73.842, 0, 0, 0.
73.794, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 0.
0, 0, 0, 0, 6.956.
0, 0, 0, 6.955, 199.837.
0, 0, 6.955, 199.774, 502.656.
0, 6.949, 199.815, 502.604, 780.219.
6.949, 199.837, 502.604, 780.219, 1013.295.
199.837, 502.604, 780.219, 1013.295, 1185.917.
502.604, 780.229, 1013.298, 1185.917, 1286.307.
780.219, 1013.298, 1185.949, 1286.299, 1307.798.
1013.27, 1185.969, 1286.299, 1307.789, 1248.757.
1185.889, 1286.299, 1307.726, 1248.7, 1113.227.
1286.293, 1307.789, 1248.729, 1113.292, 910.656.
1307.697, 1248.729, 1113.292, 910.658, 654.649.
1248.7, 1113.292, 910.658, 654.604, 362.784.
1113.292, 910.683, 654.604, 362.783, 74.432.
911.01, 654.63, 362.784, 74.432, 0.001.
654.602, 362.697, 74.432, 0.001, 0.
