The prediction is 0.392, 0.392, 0.392.
The prediction is 0.369, 0.347, 0.272.
The prediction is 0.329, 0.265, 0.209.
The prediction is 0.249, 0.191, 0.152.
The prediction is 0.194, 0.161, 0.112.
The prediction is 0.161, 0.161, 0.196.
The prediction is 0.161, 0.188, 0.274.
The prediction is 0.079, 0.102, 0.158.
The prediction is 0.079, 0.114, 0.157.
The prediction is 0.121, 0.159, 0.181.
The prediction is 0.238, 0.271, 0.278.
The prediction is 0.382, 0.382, 0.341.
The prediction is 0.317, 0.272, 0.209.
The prediction is 0.265, 0.209, 0.157.
The prediction is 0.191, 0.128, 0.106.
The prediction is 0.161, 0.135, 0.124.
The prediction is 0.099, 0.083, 0.074.
The prediction is 0.095, 0.089, 0.084.
The prediction is 0.089, 0.084, 0.077.
The prediction is 0.092, 0.089, 0.089.
The prediction is 0.102, 0.105, 0.106.
The prediction is 0.099, 0.098, 0.098.
The prediction is 0.092, 0.092, 0.094.
The prediction is 0.096, 0.097, 0.097.
The prediction is 0.102, 0.1, 0.097.
The prediction is 0.107, 0.103, 0.083.
The prediction is 0.109, 0.089, 0.074.
The prediction is 0.093, 0.077, 0.065.
The prediction is 0.091, 0.085, 0.076.
The prediction is 0.063, 0.072, 0.088.
The prediction is 0.067, 0.074, 0.101.
The prediction is 0.098, 0.132, 0.209.
The prediction is 0.109, 0.164, 0.238.
The prediction is 0.218, 0.292, 0.319.
The prediction is 0.272, 0.299, 0.298.
The prediction is 0.336, 0.327, 0.292.
The prediction is 0.261, 0.221, 0.179.
The prediction is 0.2, 0.157, 0.115.
The prediction is 0.122, 0.083, 0.069.
The prediction is 0.112, 0.099, 0.092.
The prediction is 0.1, 0.094, 0.091.
The prediction is 0.112, 0.112, 0.115.
The prediction is 0.067, 0.057, 0.048.
The prediction is 0.066, 0.061, 0.058.
The prediction is 0.063, 0.064, 0.067.
The prediction is 0.056, 0.057, 0.057.
The prediction is 0.048, 0.048, 0.048.
The prediction is 0.054, 0.057, 0.059.
The prediction is 0.051, 0.051, 0.051.
The prediction is 0.049, 0.047, 0.039.
The prediction is 0.055, 0.047, 0.041.
The prediction is 0.054, 0.047, 0.042.
The prediction is 0.094, 0.105, 0.128.
The prediction is 0.069, 0.067, 0.081.
The prediction is 0.079, 0.088, 0.121.
The prediction is 0.032, 0.041, 0.065.
The prediction is 0.046, 0.072, 0.108.
The prediction is 0.088, 0.114, 0.124.
The prediction is 0.135, 0.159, 0.162.
The prediction is 0.135, 0.136, 0.124.
The prediction is 0.126, 0.109, 0.089.
The prediction is 0.098, 0.077, 0.057.
The prediction is 0.089, 0.069, 0.057.
The prediction is 0.064, 0.057, 0.052.
The prediction is 0.057, 0.054, 0.056.
The prediction is 0.051, 0.049, 0.047.
The prediction is 0.042, 0.038, 0.035.
The prediction is 0.046, 0.046, 0.048.
The prediction is 0.039, 0.039, 0.039.
The prediction is 0.038, 0.038, 0.039.
The prediction is 0.044, 0.047, 0.05.
The prediction is 0.048, 0.05, 0.051.
The prediction is 0.055, 0.057, 0.057.
The prediction is 0.058, 0.058, 0.048.
The prediction is 0.059, 0.049, 0.041.
The prediction is 0.047, 0.037, 0.032.
The prediction is 0.047, 0.042, 0.044.
The prediction is 0.043, 0.044, 0.051.
The prediction is 0.044, 0.051, 0.072.
The prediction is 0.171, 0.218, 0.338.
The prediction is 0.283, 0.409, 0.563.
The prediction is 0.541, 0.702, 0.749.
The prediction is 0.661, 0.675, 0.632.
The prediction is 0.763, 0.713, 0.615.
The prediction is 0.664, 0.564, 0.448.
The prediction is 0.524, 0.417, 0.302.
The prediction is 0.408, 0.306, 0.272.
The prediction is 0.377, 0.347, 0.321.
The prediction is 0.457, 0.435, 0.411.
The prediction is 0.423, 0.408, 0.391.
The prediction is 0.358, 0.324, 0.297.
The prediction is 0.358, 0.336, 0.321.
The prediction is 0.355, 0.349, 0.349.
The prediction is 0.309, 0.292, 0.284.
The prediction is 0.275, 0.251, 0.238.
The prediction is 0.292, 0.292, 0.292.
The prediction is 0.307, 0.309, 0.302.
The prediction is 0.309, 0.302, 0.248.
The prediction is 0.302, 0.261, 0.209.
The prediction is 0.238, 0.185, 0.152.
The prediction is 0.193, 0.161, 0.099.
The prediction is 0.161, 0.161, 0.195.
The prediction is 0.089, 0.101, 0.132.
The prediction is 0.209, 0.284, 0.435.
The prediction is 0.254, 0.384, 0.504.
The prediction is 0.358, 0.457, 0.495.
The prediction is 0.457, 0.488, 0.487.
The prediction is 0.597, 0.597, 0.552.
The prediction is 0.613, 0.574, 0.503.
The prediction is 0.414, 0.314, 0.227.
The prediction is 0.302, 0.221, 0.195.
The prediction is 0.209, 0.173, 0.157.
The prediction is 0.191, 0.175, 0.167.
The prediction is 0.173, 0.161, 0.151.
The prediction is 0.135, 0.113, 0.093.
The prediction is 0.141, 0.138, 0.138.
The prediction is 0.144, 0.144, 0.144.
The prediction is 0.149, 0.151, 0.151.
The prediction is 0.161, 0.166, 0.171.
The prediction is 0.161, 0.163, 0.16.
The prediction is 0.163, 0.163, 0.16.
The prediction is 0.161, 0.161, 0.145.
The prediction is 0.14, 0.103, 0.073.
The prediction is 0.101, 0.073, 0.058.
The prediction is 0.106, 0.097, 0.088.
The prediction is 0.098, 0.112, 0.137.
The prediction is 0.089, 0.111, 0.157.
The prediction is 0.112, 0.153, 0.238.
The prediction is 0.112, 0.153, 0.209.
The prediction is 0.112, 0.131, 0.145.
The prediction is 0.112, 0.118, 0.115.
The prediction is 0.135, 0.136, 0.124.
The prediction is 0.11, 0.099, 0.083.
The prediction is 0.109, 0.094, 0.077.
The prediction is 0.068, 0.043, 0.032.
The prediction is 0.057, 0.047, 0.042.
The prediction is 0.051, 0.048, 0.048.
The prediction is 0.046, 0.046, 0.046.
The prediction is 0.029, 0.024, 0.021.
The prediction is 0.027, 0.025, 0.025.
The prediction is 0.026, 0.027, 0.028.
The prediction is 0.026, 0.027, 0.028.
The prediction is 0.025, 0.026, 0.027.
The prediction is 0.03, 0.033, 0.035.
The prediction is 0.036, 0.039, 0.039.
The prediction is 0.036, 0.036, 0.029.
The prediction is 0.037, 0.031, 0.025.
The prediction is 0.033, 0.028, 0.025.
The prediction is 0.038, 0.037, 0.044.
The prediction is 0.039, 0.034, 0.041.
The prediction is 0.044, 0.051, 0.072.
The prediction is 0.089, 0.111, 0.157.
The prediction is 0.163, 0.237, 0.302.
The prediction is 0.298, 0.392, 0.419.
The prediction is 0.342, 0.358, 0.341.
The prediction is 0.435, 0.423, 0.382.
The prediction is 0.448, 0.409, 0.342.
The prediction is 0.361, 0.292, 0.209.
The prediction is 0.292, 0.228, 0.201.
The prediction is 0.255, 0.221, 0.195.
The prediction is 0.273, 0.269, 0.261.
The prediction is 0.229, 0.209, 0.191.
The prediction is 0.193, 0.179, 0.167.
The prediction is 0.181, 0.161, 0.149.
The prediction is 0.151, 0.131, 0.119.
The prediction is 0.149, 0.149, 0.151.
The prediction is 0.131, 0.131, 0.131.
The prediction is 0.127, 0.127, 0.129.
The prediction is 0.126, 0.127, 0.129.
The prediction is 0.113, 0.103, 0.083.
The prediction is 0.116, 0.099, 0.085.
The prediction is 0.089, 0.074, 0.067.
The prediction is 0.083, 0.077, 0.072.
The prediction is 0.063, 0.049, 0.058.
The prediction is 0.044, 0.051, 0.072.
The prediction is 0.135, 0.182, 0.292.
The prediction is 0.128, 0.182, 0.252.
The prediction is 0.201, 0.262, 0.297.
The prediction is 0.238, 0.261, 0.261.
The prediction is 0.408, 0.409, 0.372.
The prediction is 0.389, 0.355, 0.302.
The prediction is 0.457, 0.409, 0.341.
The prediction is 0.302, 0.221, 0.195.
The prediction is 0.358, 0.347, 0.347.
The prediction is 0.28, 0.254, 0.238.
The prediction is 0.181, 0.161, 0.145.
The prediction is 0.215, 0.213, 0.212.
The prediction is 0.213, 0.213, 0.213.
The prediction is 0.194, 0.191, 0.191.
The prediction is 0.222, 0.229, 0.236.
The prediction is 0.213, 0.213, 0.21.
The prediction is 0.218, 0.221, 0.221.
The prediction is 0.191, 0.18, 0.161.
The prediction is 0.175, 0.163, 0.136.
The prediction is 0.161, 0.126, 0.096.
The prediction is 0.124, 0.099, 0.084.
The prediction is 0.134, 0.131, 0.099.
The prediction is 0.117, 0.122, 0.139.
The prediction is 0.089, 0.101, 0.138.
The prediction is 0.128, 0.153, 0.219.
The prediction is 0.191, 0.292, 0.394.
The prediction is 0.324, 0.435, 0.485.
The prediction is 0.462, 0.505, 0.495.
The prediction is 0.523, 0.524, 0.491.
The prediction is 0.574, 0.524, 0.448.
The prediction is 0.457, 0.377, 0.302.
The prediction is 0.423, 0.336, 0.302.
The prediction is 0.317, 0.282, 0.266.
The prediction is 0.28, 0.259, 0.247.
The prediction is 0.221, 0.194, 0.178.
The prediction is 0.194, 0.181, 0.167.
The prediction is 0.173, 0.163, 0.157.
The prediction is 0.149, 0.143, 0.143.
The prediction is 0.135, 0.126, 0.118.
The prediction is 0.127, 0.127, 0.129.
The prediction is 0.129, 0.129, 0.129.
The prediction is 0.117, 0.11, 0.104.
The prediction is 0.101, 0.093, 0.074.
The prediction is 0.094, 0.077, 0.065.
The prediction is 0.069, 0.056, 0.047.
The prediction is 0.069, 0.069, 0.101.
The prediction is 0.061, 0.067, 0.088.
The prediction is 0.057, 0.068, 0.092.
The prediction is 0.051, 0.071, 0.125.
The prediction is 0.112, 0.218, 0.302.
The prediction is 0.182, 0.237, 0.258.
The prediction is 0.238, 0.261, 0.261.
The prediction is 0.238, 0.229, 0.195.
The prediction is 0.213, 0.181, 0.145.
The prediction is 0.181, 0.145, 0.108.
The prediction is 0.155, 0.122, 0.104.
The prediction is 0.124, 0.111, 0.103.
The prediction is 0.112, 0.1, 0.092.
The prediction is 0.112, 0.112, 0.111.
The prediction is 0.112, 0.112, 0.115.
The prediction is 0.094, 0.087, 0.084.
The prediction is 0.099, 0.098, 0.098.
