The prediction is 0.908, 0.859, 0.811, 0.763, 0.729.
The prediction is 0.748, 0.695, 0.657, 0.633, 0.909.
The prediction is 0.666, 0.625, 0.602, 0.879, 1.159.
The prediction is 0.595, 0.574, 0.832, 1.064, 1.187.
The prediction is 0.548, 0.749, 0.987, 1.075, 1.113.
The prediction is 0.719, 0.916, 1.027, 1.072, 1.113.
The prediction is 1.007, 1.168, 1.238, 1.281, 1.324.
The prediction is 1.135, 1.192, 1.236, 1.272, 1.308.
The prediction is 1.162, 1.193, 1.218, 1.238, 1.253.
The prediction is 1.181, 1.209, 1.237, 1.257, 1.257.
The prediction is 1.237, 1.269, 1.297, 1.308, 1.292.
The prediction is 1.265, 1.297, 1.309, 1.297, 1.209.
The prediction is 1.342, 1.381, 1.393, 1.336, 1.159.
The prediction is 1.372, 1.385, 1.332, 1.156, 0.823.
The prediction is 1.352, 1.265, 1.098, 0.796, 0.742.
The prediction is 1.265, 1.098, 0.796, 0.742, 0.791.
The prediction is 1.161, 0.843, 0.806, 0.879, 0.944.
The prediction is 0.806, 0.756, 0.811, 0.849, 0.871.
The prediction is 0.806, 0.859, 0.893, 0.909, 0.909.
The prediction is 0.941, 1.008, 1.056, 1.083, 1.098.
The prediction is 0.994, 1.008, 1.009, 1.005, 0.989.
The prediction is 1.007, 1.009, 1.005, 0.989, 0.954.
The prediction is 0.974, 0.941, 0.893, 0.838, 0.779.
The prediction is 0.967, 0.928, 0.881, 0.836, 0.787.
The prediction is 0.938, 0.893, 0.838, 0.781, 0.742.
The prediction is 0.946, 0.915, 0.852, 0.787, 1.092.
The prediction is 0.909, 0.851, 0.801, 1.161, 1.477.
The prediction is 0.881, 0.838, 1.132, 1.432, 1.639.
The prediction is 0.781, 1.098, 1.392, 1.572, 1.631.
The prediction is 1.027, 1.302, 1.488, 1.496, 1.472.
The prediction is 1.312, 1.488, 1.538, 1.602, 1.665.
The prediction is 1.458, 1.507, 1.499, 1.474, 1.454.
The prediction is 1.458, 1.457, 1.457, 1.457, 1.456.
The prediction is 1.353, 1.336, 1.336, 1.342, 1.342.
The prediction is 1.287, 1.266, 1.257, 1.253, 1.238.
The prediction is 1.329, 1.342, 1.353, 1.353, 1.306.
The prediction is 1.372, 1.402, 1.415, 1.372, 1.209.
The prediction is 1.402, 1.408, 1.353, 1.198, 0.893.
The prediction is 1.395, 1.331, 1.166, 0.852, 0.832.
The prediction is 1.302, 1.135, 0.832, 0.816, 0.899.
The prediction is 1.162, 0.842, 0.816, 0.893, 0.954.
The prediction is 0.806, 0.802, 0.881, 0.944, 0.989.
The prediction is 0.768, 0.825, 0.859, 0.879, 0.893.
The prediction is 0.895, 0.952, 0.987, 1.009, 1.015.
The prediction is 0.952, 0.987, 1.009, 1.015, 1.006.
The prediction is 0.987, 1.009, 1.015, 1.009, 0.989.
The prediction is 0.976, 0.971, 0.951, 0.915, 0.871.
The prediction is 0.938, 0.909, 0.881, 0.852, 0.809.
The prediction is 0.852, 0.801, 0.753, 0.711, 0.682.
The prediction is 0.766, 0.733, 0.699, 0.675, 0.939.
The prediction is 0.625, 0.575, 0.548, 0.776, 0.987.
The prediction is 0.572, 0.548, 0.768, 0.987, 1.092.
The prediction is 0.622, 0.898, 1.16, 1.327, 1.392.
The prediction is 0.909, 1.168, 1.319, 1.372, 1.393.
The prediction is 1.292, 1.448, 1.472, 1.472, 1.474.
The prediction is 1.336, 1.336, 1.324, 1.314, 1.302.
The prediction is 1.238, 1.223, 1.223, 1.229, 1.237.
The prediction is 1.223, 1.218, 1.223, 1.229, 1.228.
The prediction is 1.193, 1.194, 1.209, 1.223, 1.209.
The prediction is 1.237, 1.259, 1.269, 1.261, 1.209.
The prediction is 1.356, 1.402, 1.407, 1.327, 1.133.
The prediction is 1.422, 1.431, 1.353, 1.16, 0.802.
The prediction is 1.485, 1.423, 1.228, 0.893, 0.875.
The prediction is 1.435, 1.237, 0.893, 0.875, 0.954.
The prediction is 1.332, 0.976, 0.987, 1.096, 1.172.
The prediction is 0.893, 0.883, 0.954, 1.005, 1.021.
The prediction is 0.842, 0.899, 0.936, 0.954, 0.954.
The prediction is 1.008, 1.063, 1.093, 1.108, 1.105.
The prediction is 1.043, 1.063, 1.071, 1.071, 1.061.
The prediction is 1.094, 1.095, 1.083, 1.056, 1.008.
The prediction is 1.049, 1.009, 0.957, 0.909, 0.867.
The prediction is 1.048, 1.015, 0.965, 0.909, 0.848.
The prediction is 1.033, 0.989, 0.938, 0.871, 0.823.
The prediction is 0.989, 0.941, 0.881, 0.836, 1.164.
The prediction is 0.946, 0.893, 0.848, 1.16, 1.458.
The prediction is 0.859, 0.816, 1.16, 1.488, 1.667.
The prediction is 0.825, 1.228, 1.556, 1.742, 1.748.
The prediction is 1.135, 1.408, 1.598, 1.647, 1.665.
The prediction is 1.408, 1.598, 1.657, 1.681, 1.699.
The prediction is 1.631, 1.674, 1.688, 1.699, 1.699.
The prediction is 1.467, 1.435, 1.415, 1.407, 1.407.
The prediction is 1.423, 1.407, 1.407, 1.408, 1.402.
The prediction is 1.495, 1.498, 1.495, 1.481, 1.448.
The prediction is 1.476, 1.474, 1.471, 1.457, 1.391.
The prediction is 1.479, 1.474, 1.457, 1.391, 1.209.
The prediction is 1.511, 1.498, 1.423, 1.228, 0.893.
The prediction is 1.479, 1.391, 1.204, 0.862, 0.842.
The prediction is 1.391, 1.191, 0.842, 0.816, 0.899.
The prediction is 1.237, 0.883, 0.883, 0.967, 1.024.
The prediction is 0.836, 0.811, 0.899, 0.965, 1.007.
The prediction is 0.842, 0.906, 0.954, 0.987, 1.014.
The prediction is 0.902, 0.954, 0.987, 1.005, 1.007.
The prediction is 0.931, 0.954, 0.967, 0.967, 0.954.
The prediction is 0.93, 0.941, 0.951, 0.954, 0.944.
The prediction is 0.93, 0.928, 0.909, 0.871, 0.831.
The prediction is 0.928, 0.909, 0.881, 0.851, 0.812.
The prediction is 0.933, 0.915, 0.885, 0.842, 0.799.
The prediction is 0.931, 0.909, 0.859, 0.811, 1.1.
The prediction is 0.898, 0.852, 0.817, 1.16, 1.476.
The prediction is 0.848, 0.811, 1.16, 1.463, 1.635.
The prediction is 0.748, 1.086, 1.386, 1.558, 1.592.
The prediction is 0.987, 1.228, 1.353, 1.372, 1.381.
The prediction is 1.307, 1.458, 1.472, 1.472, 1.474.
The prediction is 1.492, 1.462, 1.423, 1.408, 1.407.
The prediction is 1.492, 1.457, 1.435, 1.419, 1.407.
The prediction is 1.511, 1.495, 1.485, 1.481, 1.474.
The prediction is 1.559, 1.565, 1.565, 1.548, 1.499.
The prediction is 1.602, 1.642, 1.661, 1.646, 1.548.
The prediction is 1.603, 1.617, 1.602, 1.516, 1.298.
The prediction is 1.577, 1.548, 1.443, 1.238, 0.893.
The prediction is 1.528, 1.408, 1.213, 0.856, 0.832.
The prediction is 1.408, 1.189, 0.832, 0.783, 0.842.
The prediction is 1.261, 0.898, 0.854, 0.924, 0.974.
The prediction is 0.893, 0.854, 0.922, 0.967, 0.994.
The prediction is 0.842, 0.906, 0.954, 0.987, 1.014.
The prediction is 0.909, 0.954, 0.986, 1.005, 1.007.
The prediction is 0.941, 0.967, 0.987, 1.008, 1.007.
The prediction is 0.981, 1.008, 1.024, 1.024, 1.008.
The prediction is 1.063, 1.083, 1.079, 1.053, 1.007.
The prediction is 1.173, 1.194, 1.193, 1.164, 1.077.
The prediction is 1.149, 1.114, 1.057, 0.967, 0.893.
The prediction is 0.989, 0.909, 0.825, 0.762, 1.092.
The prediction is 0.895, 0.831, 0.781, 1.16, 1.496.
The prediction is 0.836, 0.781, 1.096, 1.408, 1.596.
The prediction is 0.768, 1.098, 1.408, 1.598, 1.635.
The prediction is 1.085, 1.408, 1.598, 1.638, 1.657.
The prediction is 1.322, 1.488, 1.525, 1.528, 1.528.
The prediction is 1.496, 1.525, 1.519, 1.511, 1.499.
The prediction is 1.602, 1.635, 1.657, 1.665, 1.665.
The prediction is 1.435, 1.408, 1.393, 1.391, 1.393.
The prediction is 1.408, 1.377, 1.353, 1.336, 1.302.
The prediction is 1.472, 1.495, 1.496, 1.474, 1.391.
The prediction is 1.499, 1.495, 1.474, 1.391, 1.198.
