The prediction is 1.239, 1.181, 1.098, 1.009, 0.954.
The prediction is 1.094, 0.989, 0.893, 0.836, 1.086.
The prediction is 1.066, 0.989, 0.931, 1.164, 1.5.
The prediction is 0.954, 0.893, 1.111, 1.423, 1.631.
The prediction is 0.836, 1.061, 1.386, 1.572, 1.631.
The prediction is 0.987, 1.228, 1.353, 1.386, 1.423.
The prediction is 1.228, 1.408, 1.488, 1.558, 1.621.
The prediction is 1.382, 1.423, 1.463, 1.524, 1.595.
The prediction is 1.319, 1.342, 1.381, 1.423, 1.464.
The prediction is 1.423, 1.485, 1.564, 1.631, 1.688.
The prediction is 1.697, 1.811, 1.904, 1.954, 1.954.
The prediction is 1.842, 1.941, 2.004, 2.017, 1.936.
The prediction is 1.952, 2.009, 2.011, 1.906, 1.646.
The prediction is 2.059, 2.072, 1.973, 1.706, 1.288.
The prediction is 2.049, 1.936, 1.697, 1.288, 1.209.
The prediction is 1.899, 1.646, 1.248, 1.218, 1.302.
The prediction is 1.758, 1.329, 1.302, 1.408, 1.467.
The prediction is 1.329, 1.319, 1.408, 1.435, 1.435.
The prediction is 1.292, 1.366, 1.392, 1.387, 1.366.
The prediction is 1.435, 1.481, 1.485, 1.467, 1.435.
The prediction is 1.467, 1.471, 1.457, 1.423, 1.371.
The prediction is 1.457, 1.435, 1.408, 1.371, 1.319.
The prediction is 1.327, 1.254, 1.183, 1.114, 1.057.
The prediction is 1.161, 1.077, 1.006, 0.957, 0.909.
The prediction is 1.089, 1.009, 0.954, 0.909, 0.879.
The prediction is 1.049, 0.987, 0.927, 0.879, 1.1.
The prediction is 1.049, 0.987, 0.931, 1.164, 1.488.
The prediction is 1.056, 1.028, 1.292, 1.656, 1.871.
The prediction is 0.995, 1.262, 1.605, 1.805, 1.842.
The prediction is 1.228, 1.572, 1.804, 1.898, 1.954.
The prediction is 1.659, 1.892, 1.972, 2.004, 2.028.
The prediction is 1.805, 1.854, 1.875, 1.881, 1.881.
The prediction is 1.728, 1.748, 1.791, 1.848, 1.903.
The prediction is 1.602, 1.657, 1.748, 1.842, 1.912.
The prediction is 1.603, 1.665, 1.733, 1.791, 1.817.
The prediction is 1.603, 1.672, 1.733, 1.762, 1.731.
The prediction is 1.519, 1.495, 1.461, 1.391, 1.258.
The prediction is 1.499, 1.457, 1.391, 1.258, 0.987.
The prediction is 1.534, 1.492, 1.358, 1.082, 1.092.
The prediction is 1.485, 1.372, 1.098, 1.114, 1.209.
The prediction is 1.407, 1.161, 1.181, 1.292, 1.351.
The prediction is 1.006, 0.987, 1.087, 1.181, 1.238.
The prediction is 1.064, 1.181, 1.267, 1.302, 1.302.
The prediction is 1.362, 1.458, 1.485, 1.474, 1.435.
The prediction is 1.448, 1.471, 1.457, 1.423, 1.371.
The prediction is 1.485, 1.462, 1.423, 1.368, 1.297.
The prediction is 1.435, 1.371, 1.297, 1.223, 1.164.
The prediction is 1.368, 1.297, 1.228, 1.164, 1.088.
