Variable,MAE,RMSE,SMAPE (%),R^2,Missing Rate (%)
air-density_land-wtd,0.0018831168831168863,0.0024732333324785894,0.16436356230362295,0.9673628984359531,0.0
air-density_pop-wtd,0.0019220779220779295,0.0027821322291112782,0.16591916745816498,0.9585513005780351,0.0
cloud-cover_land-wtd,0.04233766233766233,0.06777617862944466,11.402786953125199,0.6819374812695848,0.0
cloud-cover_pop-wtd,0.050571428571428566,0.07624703528407115,13.278774783845511,0.7305078749966205,0.0
humidity_land-wtd,0.00014285714285714281,0.00041089070180665903,1.4119714871594569,0.5900900900900901,0.0
humidity_pop-wtd,0.00014285714285714281,0.00037796447300922717,1.412622465254044,0.6794095382286147,0.0
irradiance-surface_land-wtd,6.505974025974029,12.241044743631337,,0.99858525691288,0.0
irradiance-surface_pop-wtd,5.373883116883115,11.23865662640485,,0.9988559402160373,0.0
irradiance-toa_land-wtd,9.30018181818182,72.23490832216572,,0.973016441206173,0.0
irradiance-toa_pop-wtd,1.1464155844155832,2.0221055054879455,,0.9999793796793944,0.0
precipitation_land-wtd,6.493506493506494e-05,0.00025482359571881276,,0.7038461538461538,0.0
precipitation_pop-wtd,0.0001168831168831169,0.00034188172937891386,,0.692,0.0
temperature_land-wtd,0.5260909090909087,0.7548520539659563,2.1485963489889683,0.9722900430996378,0.0
temperature_pop-wtd,0.4728571428571431,0.6190490612703815,1.7993852423599317,0.9810820464743535,0.0
wind-speed_land-wtd,0.14002597402597403,0.21849508895191191,8.61560669923337,0.746991322615697,0.0
wind-speed_pop-wtd,0.20611688311688317,0.3028008432110959,10.577187166163567,0.7697896615588466,0.0
